LGA region,Postcode,People reporting fair or poor health status,People reporting fair or poor health status (rank),Females reporting fair or poor health status,Females reporting fair or poor health status (rank),Males reporting fair or poor health status,Males reporting fair or poor health status (rank),People receiving prescriptions,People receiving prescriptions (rank),Females receiving prescriptions,Females receiving prescriptions (rank),Males receiving prescriptions,Males receiving prescriptions (rank),"People who delayed purchasing prescribed medication, unable to afford","People who delayed purchasing prescribed medication, unable to afford (rank)",People reporting type 2 diabetes,People reporting type 2 diabetes (rank),People reporting high blood pressure,People reporting high blood pressure (rank),People reporting heart disease,People reporting heart disease (rank),"Cancer incidence per 1,000 population","Cancer incidence per 1,000 population (rank)","Cancer incidence per 1,000 females","Cancer incidence per 1,000 females (rank)","Cancer incidence per 1,000 males","Cancer incidence per 1,000 males (rank)"
Alpine,3678,19.30%,10,15.60%,25,20.80%,16,71.50%,54,75.70%,61,67.40%,43,11.30%,54,5.00%,35,21.80%,67,6.80%,43,7,21,6,26,8,17
Alpine,3691,19.30%,10,15.60%,25,20.80%,16,71.50%,54,75.70%,61,67.40%,43,11.30%,54,5.00%,35,21.80%,67,6.80%,43,7,21,6,26,8,17
Alpine,3695,19.30%,10,15.60%,25,20.80%,16,71.50%,54,75.70%,61,67.40%,43,11.30%,54,5.00%,35,21.80%,67,6.80%,43,7,21,6,26,8,17
Alpine,3697,19.30%,10,15.60%,25,20.80%,16,71.50%,54,75.70%,61,67.40%,43,11.30%,54,5.00%,35,21.80%,67,6.80%,43,7,21,6,26,8,17
Alpine,3698,19.30%,10,15.60%,25,20.80%,16,71.50%,54,75.70%,61,67.40%,43,11.30%,54,5.00%,35,21.80%,67,6.80%,43,7,21,6,26,8,17
Alpine,3699,19.30%,10,15.60%,25,20.80%,16,71.50%,54,75.70%,61,67.40%,43,11.30%,54,5.00%,35,21.80%,67,6.80%,43,7,21,6,26,8,17
Alpine,3701,19.30%,10,15.60%,25,20.80%,16,71.50%,54,75.70%,61,67.40%,43,11.30%,54,5.00%,35,21.80%,67,6.80%,43,7,21,6,26,8,17
Alpine,3735,19.30%,10,15.60%,25,20.80%,16,71.50%,54,75.70%,61,67.40%,43,11.30%,54,5.00%,35,21.80%,67,6.80%,43,7,21,6,26,8,17
Alpine,3737,19.30%,10,15.60%,25,20.80%,16,71.50%,54,75.70%,61,67.40%,43,11.30%,54,5.00%,35,21.80%,67,6.80%,43,7,21,6,26,8,17
Alpine,3739,19.30%,10,15.60%,25,20.80%,16,71.50%,54,75.70%,61,67.40%,43,11.30%,54,5.00%,35,21.80%,67,6.80%,43,7,21,6,26,8,17
Alpine,3740,19.30%,10,15.60%,25,20.80%,16,71.50%,54,75.70%,61,67.40%,43,11.30%,54,5.00%,35,21.80%,67,6.80%,43,7,21,6,26,8,17
Alpine,3741,19.30%,10,15.60%,25,20.80%,16,71.50%,54,75.70%,61,67.40%,43,11.30%,54,5.00%,35,21.80%,67,6.80%,43,7,21,6,26,8,17
Alpine,3744,19.30%,10,15.60%,25,20.80%,16,71.50%,54,75.70%,61,67.40%,43,11.30%,54,5.00%,35,21.80%,67,6.80%,43,7,21,6,26,8,17
Alpine,3747,19.30%,10,15.60%,25,20.80%,16,71.50%,54,75.70%,61,67.40%,43,11.30%,54,5.00%,35,21.80%,67,6.80%,43,7,21,6,26,8,17
Alpine,3749,19.30%,10,15.60%,25,20.80%,16,71.50%,54,75.70%,61,67.40%,43,11.30%,54,5.00%,35,21.80%,67,6.80%,43,7,21,6,26,8,17
Alpine,3858,19.30%,10,15.60%,25,20.80%,16,71.50%,54,75.70%,61,67.40%,43,11.30%,54,5.00%,35,21.80%,67,6.80%,43,7,21,6,26,8,17
Alpine,3862,19.30%,10,15.60%,25,20.80%,16,71.50%,54,75.70%,61,67.40%,43,11.30%,54,5.00%,35,21.80%,67,6.80%,43,7,21,6,26,8,17
Alpine,3898,19.30%,10,15.60%,25,20.80%,16,71.50%,54,75.70%,61,67.40%,43,11.30%,54,5.00%,35,21.80%,67,6.80%,43,7,21,6,26,8,17
Alpine,3900,19.30%,10,15.60%,25,20.80%,16,71.50%,54,75.70%,61,67.40%,43,11.30%,54,5.00%,35,21.80%,67,6.80%,43,7,21,6,26,8,17
Ararat,3272,14.40%,45,12.80%,50,14.90%,44,76.20%,26,84.20%,18,68.80%,32,14.30%,6,3.60%,67,25.90%,44,5.70%,66,5.9,39,4.4,65,7.3,28
Ararat,3274,14.40%,45,12.80%,50,14.90%,44,76.20%,26,84.20%,18,68.80%,32,14.30%,6,3.60%,67,25.90%,44,5.70%,66,5.9,39,4.4,65,7.3,28
Ararat,3293,14.40%,45,12.80%,50,14.90%,44,76.20%,26,84.20%,18,68.80%,32,14.30%,6,3.60%,67,25.90%,44,5.70%,66,5.9,39,4.4,65,7.3,28
Ararat,3294,14.40%,45,12.80%,50,14.90%,44,76.20%,26,84.20%,18,68.80%,32,14.30%,6,3.60%,67,25.90%,44,5.70%,66,5.9,39,4.4,65,7.3,28
Ararat,3325,14.40%,45,12.80%,50,14.90%,44,76.20%,26,84.20%,18,68.80%,32,14.30%,6,3.60%,67,25.90%,44,5.70%,66,5.9,39,4.4,65,7.3,28
Ararat,3351,14.40%,45,12.80%,50,14.90%,44,76.20%,26,84.20%,18,68.80%,32,14.30%,6,3.60%,67,25.90%,44,5.70%,66,5.9,39,4.4,65,7.3,28
Ararat,3361,14.40%,45,12.80%,50,14.90%,44,76.20%,26,84.20%,18,68.80%,32,14.30%,6,3.60%,67,25.90%,44,5.70%,66,5.9,39,4.4,65,7.3,28
Ararat,3373,14.40%,45,12.80%,50,14.90%,44,76.20%,26,84.20%,18,68.80%,32,14.30%,6,3.60%,67,25.90%,44,5.70%,66,5.9,39,4.4,65,7.3,28
Ararat,3374,14.40%,45,12.80%,50,14.90%,44,76.20%,26,84.20%,18,68.80%,32,14.30%,6,3.60%,67,25.90%,44,5.70%,66,5.9,39,4.4,65,7.3,28
Ararat,3375,14.40%,45,12.80%,50,14.90%,44,76.20%,26,84.20%,18,68.80%,32,14.30%,6,3.60%,67,25.90%,44,5.70%,66,5.9,39,4.4,65,7.3,28
Ararat,3377,14.40%,45,12.80%,50,14.90%,44,76.20%,26,84.20%,18,68.80%,32,14.30%,6,3.60%,67,25.90%,44,5.70%,66,5.9,39,4.4,65,7.3,28
Ararat,3378,14.40%,45,12.80%,50,14.90%,44,76.20%,26,84.20%,18,68.80%,32,14.30%,6,3.60%,67,25.90%,44,5.70%,66,5.9,39,4.4,65,7.3,28
Ararat,3379,14.40%,45,12.80%,50,14.90%,44,76.20%,26,84.20%,18,68.80%,32,14.30%,6,3.60%,67,25.90%,44,5.70%,66,5.9,39,4.4,65,7.3,28
Ararat,3381,14.40%,45,12.80%,50,14.90%,44,76.20%,26,84.20%,18,68.80%,32,14.30%,6,3.60%,67,25.90%,44,5.70%,66,5.9,39,4.4,65,7.3,28
Ararat,3384,14.40%,45,12.80%,50,14.90%,44,76.20%,26,84.20%,18,68.80%,32,14.30%,6,3.60%,67,25.90%,44,5.70%,66,5.9,39,4.4,65,7.3,28
Ararat,3469,14.40%,45,12.80%,50,14.90%,44,76.20%,26,84.20%,18,68.80%,32,14.30%,6,3.60%,67,25.90%,44,5.70%,66,5.9,39,4.4,65,7.3,28
Ballarat,3334,12.30%,60,13.20%,43,11.40%,69,72.70%,46,79.80%,42,65.10%,55,13.50%,22,3.90%,61,31.90%,6,8.10%,17,5.8,40,5.6,37,6.1,45
Ballarat,3350,12.30%,60,13.20%,43,11.40%,69,72.70%,46,79.80%,42,65.10%,55,13.50%,22,3.90%,61,31.90%,6,8.10%,17,5.8,40,5.6,37,6.1,45
Ballarat,3351,12.30%,60,13.20%,43,11.40%,69,72.70%,46,79.80%,42,65.10%,55,13.50%,22,3.90%,61,31.90%,6,8.10%,17,5.8,40,5.6,37,6.1,45
Ballarat,3352,12.30%,60,13.20%,43,11.40%,69,72.70%,46,79.80%,42,65.10%,55,13.50%,22,3.90%,61,31.90%,6,8.10%,17,5.8,40,5.6,37,6.1,45
Ballarat,3355,12.30%,60,13.20%,43,11.40%,69,72.70%,46,79.80%,42,65.10%,55,13.50%,22,3.90%,61,31.90%,6,8.10%,17,5.8,40,5.6,37,6.1,45
Ballarat,3356,12.30%,60,13.20%,43,11.40%,69,72.70%,46,79.80%,42,65.10%,55,13.50%,22,3.90%,61,31.90%,6,8.10%,17,5.8,40,5.6,37,6.1,45
